,0
AAPL,0.011501943787908172
MSFT,0.0030398844307726594
NVDA,0.2652619549010419
GOOGL,0.018723348390651925
AVGO,0.09651834607004298
GOOG,0.018723348390651925
JPM,0.07800171348759168
V,0.004345178843886821
XOM,0.027000024910625836
COST,0.0027834192840229975
MA,0.008123425739316698
UNH,0.15214249796066828
NFLX,0.17527901995159836
HD,0.056954472571442906
ABBV,0.15317214698197354
BAC,0.0566545134538535
KO,0.032858365622798785
CRM,0.14130289114413092
CVX,0.09280436152698365
WFC,0.015308474977603731
PM,0.14280510378111802
ABT,0.20658204952258233
LIN,0.05289737952584979
ACN,0.015247749248623921
PEP,0.022894229246677982
ADBE,0.020935563611286432
DIS,0.047886246558986836
GS,0.02219417570184449
TXN,0.21475800978013398
QCOM,0.19243188235392722
INTU,0.027894858948454476
CAT,0.12610309210260995
PGR,0.2006179657476664
SPGI,0.03542712549373707
BKNG,0.13399918555236986
AXP,0.09972553687695074
UBER,0.36950095068802064
TJX,0.128445675543268
LOW,0.03517143783541937
DHR,0.26688834712183596
AMAT,0.033208604302598685
FI,0.16984950054507558
ADP,0.004878837240603151
SCHW,0.043169148144161076
MDT,0.011776323741180489
PANW,0.11731147836225554
DE,0.03876806242087367
MMC,0.018696110189017727
CB,0.058030115796223594
BA,0.3950208036894956
PLD,0.04541935212167168
BX,0.021668430758604335
MU,0.06227276677694477
LRCX,0.16900099855310424
ICE,0.04193256993654049
AMT,0.8413695015007379
SO,0.031585302165503114
KLAC,0.12039757587306316
MO,0.019643135932420154
ANET,0.13474384715165044
DUK,0.14702948628925963
MDLZ,0.11495361353912784
EQIX,0.12876111493984663
UPS,0.08363549842323938
AJG,0.02236809641523539
CVS,0.21590700073352564
KKR,0.06817156629665398
PH,0.18105761636131829
MMM,0.6604645161352151
AON,0.0724992548729629
ORLY,0.003425427157152214
APH,0.009194352987793416
ZTS,0.007261044240315422
ITW,0.013166887053580162
MCO,0.12673110604342638
TDG,0.21204326900477208
CL,0.26275167816041306
CMG,0.046728571499474104
REGN,0.0849812051896875
GD,0.005141781950733894
CTAS,0.007387276923833912
COF,0.017249484998298835
USB,0.03579747728149707
APD,0.05897558157635756
EOG,0.10134084482306673
WMB,0.12247202245259611
SNPS,0.10629624820181047
FTNT,0.061333920376010764
EMR,0.12054402119683275
NOC,0.07552675892096743
BDX,0.018787044188966776
BK,0.04639996429903967
ROP,0.2578443436831376
